Member_Number,Courses
1,Pengantar Informasi
1,Algoritma dan Pemrograman
1,Perakitan dan Instalasi Komputer
1,pemrograman 1
1,teknik digital
1,struktur data
1,sistem operasi
1,basis data
1,interaksi manusia dan komputer
1,komunikasi data
1,pemrograman 2
1,praktik jaringan komputer
1,pemrograman visual 1
1,media digital
1,desain komunikasi visual
1,mobile & cloud computing architecture
1,sistem keamanan
1,pembelajaran berbasis multimedia
1,stategi pembelajaran visual
1,pengolahan citra digital
1,manajemen proyek perangkat lunak
1,praktik pengembangan apk mobile
1,manajemen sistem informasi
1,administrasi jaringan
1,multimedia interaktif
1,jaringan terdistribusi
1,matematika diskrit
1,pengembangan sistem berorientasi objek
1,pemrograman web
1,metopen
1,komunikasi data
2,Pengantar Informasi
2,Algoritma dan Pemrograman
2,Perakitan dan Instalasi Komputer
2,pemrograman 1
2,teknik digital
2,struktur data
2,sistem operasi
2,basis data
2,interaksi manusia dan komputer
2,komunikasi data
2,pemrograman 2
2,praktik jaringan komputer
2,pemrograman visual 1
2,media digital
2,desain komunikasi visual
2,mobile & cloud computing architecture
2,sistem keamanan
2,pembelajaran berbasis multimedia
2,stategi pembelajaran visual
2,pengolahan citra digital
2,komunikasi nirkabel
2,praktik pengembangan apk mobile
2,manajemen sistem informasi
2,administrasi jaringan
2,multimedia interaktif
2,jaringan terdistribusi
2,matematika diskrit
2,pengembangan sistem berorientasi objek
2,pemrograman web
2,metopen
2,komunikasi data
3,Pengantar Informasi
3,Algoritma dan Pemrograman
3,Perakitan dan Instalasi Komputer
3,pemrograman 1
3,teknik digital
3,struktur data
3,sistem operasi
3,basis data
3,interaksi manusia dan komputer
3,komunikasi data
3,pemrograman 2
3,praktik jaringan komputer
3,pemrograman visual 1
3,media digital
3,desain komunikasi visual
3,mobile & cloud computing architecture
3,sistem keamanan
3,pembelajaran berbasis multimedia
3,stategi pembelajaran visual
3,pengolahan citra digital
3,komunikasi nirkabel
3,manajemen proyek perangkat lunak
3,praktik pengembangan apk mobile
3,manajemen sistem informasi
3,administrasi jaringan
3,jaringan terdistribusi
3,matematika diskrit
3,pengembangan sistem berorientasi objek
3,pemrograman web
3,metopen
3,komunikasi data
4,Pengantar Informasi
4,Algoritma dan Pemrograman
4,Perakitan dan Instalasi Komputer
4,pemrograman 1
4,teknik digital
4,struktur data
4,sistem operasi
4,basis data
4,interaksi manusia dan komputer
4,komunikasi data
4,pemrograman 2
4,praktik jaringan komputer
4,pemrograman visual 1
4,media digital
4,desain komunikasi visual
4,mobile & cloud computing architecture
4,sistem keamanan
4,pembelajaran berbasis multimedia
4,stategi pembelajaran visual
4,pengolahan citra digital
4,komunikasi nirkabel
4,manajemen proyek perangkat lunak
4,praktik pengembangan apk mobile
4,manajemen sistem informasi
4,administrasi jaringan
4,multimedia interaktif
4,jaringan terdistribusi
4,matematika diskrit
4,pengembangan sistem berorientasi objek
4,pemrograman web
4,metopen
4,komunikasi data
5,Pengantar Informasi
5,Algoritma dan Pemrograman
5,Perakitan dan Instalasi Komputer
5,pemrograman 1
5,teknik digital
5,struktur data
5,sistem operasi
5,basis data
5,interaksi manusia dan komputer
5,komunikasi data
5,pemrograman 2
5,praktik jaringan komputer
5,pemrograman visual 1
5,media digital
5,desain komunikasi visual
5,mobile & cloud computing architecture
5,sistem keamanan
5,pembelajaran berbasis multimedia
5,stategi pembelajaran visual
5,pengolahan citra digital
5,manajemen proyek perangkat lunak
5,praktik pengembangan apk mobile
5,manajemen sistem informasi
5,administrasi jaringan
5,multimedia interaktif
5,jaringan terdistribusi
5,matematika diskrit
5,pengembangan sistem berorientasi objek
5,pemrograman web
5,metopen
5,komunikasi data
